ID;Label
D2-101;Human
D2-102;OpenAI
D2-103;Human
D2-104;Anthropic
D2-105;Anthropic
D2-106;Anthropic
D2-107;Meta
D2-108;Anthropic
D2-109;Anthropic
D2-110;Human
D2-111;Human
D2-112;OpenAI
D2-113;Meta
D2-114;OpenAI
D2-115;Meta
D2-116;Google
D2-117;OpenAI
D2-118;Anthropic
D2-119;Human
D2-120;Meta
D2-121;Human
D2-122;Human
D2-123;Meta
D2-124;Meta
D2-125;Human
D2-126;Human
D2-127;Human
D2-128;OpenAI
D2-129;Human
D2-130;OpenAI
D2-131;Meta
D2-132;Anthropic
D2-133;Anthropic
D2-134;OpenAI
D2-135;Google
D2-136;OpenAI
D2-137;Meta
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;Meta
D2-142;Human
D2-143;Human
D2-144;Meta
D2-145;Meta
D2-146;Human
D2-147;Human
D2-148;Meta
D2-149;Human
D2-150;Anthropic
D3-1;OpenAI
D3-2;Human
D3-3;Google
D3-4;Meta
D3-5;OpenAI
D3-6;Human
D3-7;OpenAI
D3-8;Human
D3-9;OpenAI
D3-10;Human
D3-11;Meta
D3-12;OpenAI
D3-13;OpenAI
D3-14;Meta
D3-15;Google
D3-16;Human
D3-17;Human
D3-18;Human
D3-19;Human
D3-20;Meta
D3-21;Human
D3-22;OpenAI
D3-23;Anthropic
D3-24;Anthropic
D3-25;Human
D3-26;Meta
D3-27;Meta
D3-28;Anthropic
D3-29;OpenAI
D3-30;OpenAI
D3-31;Human
D3-32;Anthropic
D3-33;OpenAI
D3-34;Meta
D3-35;Human
D3-36;OpenAI
D3-37;OpenAI
D3-38;Google
D3-39;OpenAI
D3-40;Human
D3-41;Google
D3-42;Human
D3-43;Meta
D3-44;Human
D3-45;Anthropic
D3-46;Meta
D3-47;OpenAI
D3-48;Anthropic
D3-49;Meta
D3-50;Google
D3-51;Human
D3-52;OpenAI
D3-53;OpenAI
D3-54;Human
D3-55;Meta
D3-56;OpenAI
D3-57;Google
D3-58;OpenAI
D3-59;Meta
D3-60;OpenAI
D3-61;Human
D3-62;Anthropic
D3-63;Anthropic
D3-64;Human
D3-65;Meta
D3-66;Anthropic
D3-67;Anthropic
D3-68;Anthropic
D3-69;OpenAI
D3-70;Meta
D3-71;Human
D3-72;OpenAI
D3-73;Google
D3-74;Meta
D3-75;Google
D3-76;Human
D3-77;Human
D3-78;Human
D3-79;Human
D3-80;Meta
D3-81;Anthropic
D3-82;Google
D3-83;Meta
D3-84;Anthropic
D3-85;Human
D3-86;Human
D3-87;OpenAI
D3-88;OpenAI
D3-89;Human
D3-90;OpenAI
D3-91;Google
D3-92;Meta
D3-93;Human
D3-94;OpenAI
D3-95;Human
D3-96;Anthropic
D3-97;Meta
D3-98;Google
D3-99;Google
D3-100;Human
