Text;Label
Laser-based bioprinting can be split into two major classes: those based on cell transfer technologies or photo-polymerization. In cell transfer laser printing, a laser stimulates the connection between energy-absorbing material (e.g. gold, titanium, etc.) and the bioink. This 'donor layer' vaporizes under the laser's irradiation, forming a bubble from the bioink layer which gets deposited from a jet. Photo-polymerization techniques rather use photoinitiated reactions to solidify the ink, moving the beam path of a laser to induce the formation of a desired construct.;Human
3D printing, also called additive manufacturing, is the construction of a three-dimensional object from a CAD model or a digital 3D model. It can be done in a variety of processes in which material is deposited, joined or solidified under computer control, with the material being added together (e.g. plastics, liquids, or powder grains being fused), typically layer by layer. In the 1980s, 3D printing techniques were considered suitable only for the production of functional or aesthetic prototypes, and a more appropriate term for it at the time was rapid prototyping.;Human
Antitranspirant - Induces stomatal closure, decreasing transpiration to prevent water loss. Promotes root growth during periods of low humidity. Inhibits fruit ripening Responsible for seed dormancy by inhibiting cell growth – inhibits seed germination Inhibits the synthesis of Kinetin nucleotide Downregulates enzymes needed for photosynthesis. Acts on endodermis to prevent growth of roots when exposed to salty conditions Promotion of plant antiviral immunity In the absence of ABA, the phosphatase ABA-INSENSITIVE1 (ABI1) inhibits the action of SNF1-related protein kinases (subfamily 2) (SnRK2s).;Human
In mathematics, more specifically algebra, abstract algebra or modern algebra is the study of algebraic structures, which are sets with specific operations acting on their elements. Algebraic structures include groups, rings, fields, modules, vector spaces, lattices, and algebras over a field. The term abstract algebra was coined in the early 20th century to distinguish it from older parts of algebra, and more specifically from elementary algebra, the use of variables to represent numbers in computation and reasoning. The abstract perspective on algebra has become so fundamental to advanced mathematics that it is simply called algebra, while the term abstract algebra is seldom used except in pedagogy.;Human
While it is possible to accelerate charged particles using electrostatic fields, like in a Cockcroft-Walton voltage multiplier, this method has limits given by electrical breakdown at high voltages. Furthermore, due to electrostatic fields being conservative, the maximum voltage limits the kinetic energy that is applicable to the particles. To circumvent this problem, linear particle accelerators operate using time-varying fields. To control this fields using hollow macroscopic structures through which the particles are passing (wavelength restrictions), the frequency of such acceleration fields is located in the radio frequency region of the electromagnetic spectrum.;Human
In chemistry, an acid dissociation constant (also known as acidity constant, or acid-ionization constant  denoted ⁠ K a {\\displaystyle K_{a}} ⁠) is a quantitative measure of the strength of an acid in solution. It is the equilibrium constant for a chemical reaction HA ↽ − − ⇀ A − + H + {\\displaystyle {\\ce {HA <=> A^- + H^+}}} known as dissociation in the context of acid–base reactions. The chemical species HA is an acid that dissociates into A−, called the conjugate base of the acid, and a hydrogen ion, H+.;Human
Baking powder is used to cause the dough for breads and cakes to rise by creating millions of tiny carbon dioxide bubbles. Baking powder is not to be confused with baking soda, which is sodium bicarbonate (NaHCO3). Baking powder is a mixture of baking soda (sodium bicarbonate) and acidic salts. The bubbles are created because, when the baking powder is combined with water, the sodium bicarbonate and acid salts react to produce gaseous carbon dioxide. Whether commercially or domestically prepared, the principles behind baking powder formulations remain the same.;Human
Acoustical engineering (also known as acoustic engineering) is the branch of engineering dealing with sound and vibration. It includes the application of acoustics, the science of sound and vibration, in technology. Acoustical engineers are typically concerned with the design, analysis and control of sound. One goal of acoustical engineering can be the reduction of unwanted noise, which is referred to as noise control. Unwanted noise can have significant impacts on animal and human health and well-being, reduce attainment by students in schools, and cause hearing loss.;Human
In fluids such as air and water, sound waves propagate as disturbances in the ambient pressure level. While this disturbance is usually small, it is still noticeable to the human ear. The smallest sound that a person can hear, known as the threshold of hearing, is nine orders of magnitude smaller than the ambient pressure. The loudness of these disturbances is related to the sound pressure level (SPL) which is measured on a logarithmic scale in decibels. Physicists and acoustic engineers tend to discuss sound pressure levels in terms of frequencies, partly because this is how our ears interpret sound.;Human
An action potential (also known as a nerve impulse or spike when in a neuron) is a series of quick changes in voltage across a cell membrane. An action potential occurs when the membrane potential of a specific cell rapidly rises and falls. This depolarization (physically, a reversal of the polarization of the membrane) then causes adjacent locations to similarly depolarize. Action potentials occur in several types of excitable cells, which include animal cells like neurons and muscle cells, as well as some plant cells.;Human
